turn,fromRank,fromFile,toRank,toFile,timeSpent,ELO,win
6,7,1,5,2,3,2151,0
12,5,2,7,1,4,2151,0
24,5,5,6,7,11,2151,0
32,6,7,5,5,10,2151,0
36,7,1,6,3,15,2151,0
52,6,3,4,4,17,2151,0
54,4,4,2,5,14,2151,0
58,2,5,1,3,15,2151,0
62,1,3,3,2,16,2151,0
84,3,2,1,1,26,2151,0
88,1,1,3,0,23,2151,0
90,3,0,4,2,23,2151,0
98,4,2,3,0,26,2151,0
100,3,0,4,2,25,2151,0
106,4,2,2,3,28,2151,0
110,2,3,4,4,28,2151,0
114,4,4,3,2,29,2151,0
116,3,2,4,4,29,2151,0
118,4,4,6,5,30,2151,0
120,6,5,4,6,30,2151,0
130,4,6,3,4,35,2151,0
132,3,4,2,2,33,2151,0
10,7,1,5,2,5,2133,1
12,7,6,5,5,6,2133,1
14,5,2,4,0,4,2133,1
4,7,6,5,5,2,1987,1
22,7,1,5,2,11,1987,1
34,5,2,3,3,11,1987,1
36,5,5,4,3,17,1987,1
4,7,1,5,2,2,1955,1
8,7,6,5,5,4,1955,1
32,5,2,6,0,15,1955,1
40,5,5,6,3,18,1955,1
42,6,3,4,2,11,1955,1
46,4,2,2,1,12,1955,1
48,2,1,3,3,12,1955,1
64,3,3,2,1,20,1955,1
66,2,1,4,2,17,1955,1
2,7,6,5,5,1,1993,0
12,7,1,5,2,6,1993,0
40,5,5,6,3,19,1993,0
4,7,1,5,2,2,2105,0
6,7,6,5,5,3,2105,0
28,5,5,4,3,12,2105,0
32,5,2,7,3,15,2105,0
34,7,3,6,5,9,2105,0
38,4,3,2,2,12,2105,0
40,2,2,4,1,10,2105,0
42,4,1,5,3,11,2105,0
44,6,5,4,4,13,2105,0
2,7,6,5,5,1,2040,1
14,7,1,6,3,7,2040,1
20,5,5,3,4,9,2040,1
22,6,3,5,5,7,2040,1
28,5,5,4,3,8,2040,1
30,4,3,5,5,8,2040,1
2,7,6,5,5,1,1968,0
20,7,1,5,2,10,1968,0
24,5,2,3,1,7,1968,0
34,5,5,3,4,16,1968,0
36,3,1,5,2,12,1968,0
38,5,2,3,3,10,1968,0
8,7,6,5,5,4,1978,0
10,5,5,3,4,3,1978,0
14,3,4,1,3,4,1978,0
16,7,1,5,2,8,1978,0
2,7,6,5,5,1,1927,0
26,7,1,6,3,13,1927,0
36,6,3,4,4,11,1927,0
40,5,5,6,3,19,1927,0
42,6,3,4,2,11,1927,0
44,4,2,2,3,11,1927,0
48,2,3,4,4,13,1927,0
2,7,1,5,2,1,2043,0
6,7,6,5,5,3,2043,0
10,5,5,3,4,3,2043,0
22,3,4,2,2,8,2043,0
24,2,2,0,1,6,2043,0
2,7,6,5,5,1,1921,0
10,7,1,6,3,5,1921,0
30,6,3,4,4,12,1921,0
42,5,5,3,6,20,1921,0
2,7,6,5,5,1,1964,0
6,7,1,5,2,3,1964,0
8,5,2,3,3,2,1964,0
22,3,3,2,5,9,1964,0
48,5,5,3,6,23,1964,0
58,3,6,2,4,17,1964,0
8,7,6,5,5,4,1999,0
16,7,1,5,2,8,1999,0
34,5,5,6,3,15,1999,0
44,6,3,5,5,13,1999,0
6,7,6,5,5,3,2184,1
16,7,1,6,3,8,2184,1
20,6,3,4,4,6,2184,1
24,5,5,4,3,10,2184,1
4,7,1,5,2,2,2287,1
12,7,6,5,7,6,2287,1
14,5,2,4,0,6,2287,1
16,4,0,3,2,4,2287,1
22,5,7,3,6,8,2287,1
24,3,6,5,5,6,2287,1
38,5,5,4,3,13,2287,1
2,7,6,5,5,1,2142,1
14,5,5,3,4,6,2142,1
16,3,4,2,2,4,2142,1
26,7,1,6,3,13,2142,1
4,7,1,5,2,2,2047,0
6,7,6,5,5,3,2047,0
8,5,5,7,6,2,2047,0
10,7,6,6,4,3,2047,0
12,6,4,5,6,3,2047,0
26,5,6,6,4,10,2047,0
38,6,4,5,6,12,2047,0
48,5,6,7,7,14,2047,0
50,7,7,6,5,13,2047,0
58,6,5,7,3,16,2047,0
74,7,3,6,1,22,2047,0
2,7,6,5,5,1,2357,1
14,7,1,5,2,7,2357,1
16,5,2,6,4,4,2357,1
18,5,5,7,4,8,2357,1
28,6,4,5,6,10,2357,1
54,7,4,5,5,22,2357,1
2,7,6,5,5,1,2355,1
4,5,5,4,3,1,2355,1
14,7,1,5,2,7,2355,1
16,4,3,6,4,7,2355,1
18,6,4,4,5,5,2355,1
24,4,5,3,3,7,2355,1
2,7,6,5,5,1,1935,0
8,7,1,5,2,4,2120,1
40,7,6,5,7,20,2120,1
6,7,6,5,5,3,1943,1
14,7,1,5,2,7,1943,1
28,5,5,4,7,12,1943,1
34,4,7,3,5,10,1943,1
36,3,5,2,7,9,1943,1
40,2,7,4,6,11,1943,1
8,7,6,5,5,4,2439,1
10,7,1,5,2,5,2439,1
30,5,5,4,3,13,2439,1
32,5,2,3,3,13,2439,1
2,7,1,5,2,1,2069,0
6,7,6,5,5,3,2069,0
10,5,5,3,4,3,2069,0
22,3,4,2,2,8,2069,0
24,2,2,0,1,6,2069,0
10,7,6,5,5,5,1937,0
14,7,1,5,2,7,1937,0
16,5,2,3,3,4,1937,0
8,7,6,5,5,4,2032,0
12,5,5,6,3,4,2032,0
18,7,1,5,2,9,2032,0
20,5,2,6,4,5,2032,0
28,6,4,4,3,9,2032,0
32,6,3,4,2,13,2032,0
34,4,2,3,0,9,2032,0
42,4,3,2,4,14,2032,0
50,3,0,5,1,16,2032,0
56,5,1,4,3,15,2032,0
78,4,3,2,4,25,2032,0
92,2,4,0,5,26,2032,0
94,0,5,1,3,24,2032,0
96,1,3,3,4,24,2032,0
98,3,4,4,2,25,2032,0
4,7,6,5,5,2,2075,0
6,7,1,5,2,3,2075,0
8,5,2,7,1,2,2075,0
18,7,1,6,3,7,2075,0
20,5,5,4,7,9,2075,0
26,6,3,5,5,8,2075,0
28,5,5,7,6,7,2075,0
30,4,7,5,5,10,2075,0
38,7,6,6,4,12,2075,0
40,6,4,5,6,10,2075,0
60,5,6,3,5,20,2075,0
64,5,5,3,6,24,2075,0
2,7,1,5,2,1,2225,1
14,7,6,6,4,7,2225,1
28,6,4,4,5,10,2225,1
36,5,2,6,0,17,2225,1
58,6,0,4,1,20,2225,1
68,4,1,6,2,19,2225,1
70,6,2,5,4,18,2225,1
72,5,4,4,2,18,2225,1
10,7,1,5,2,5,2022,0
16,5,2,3,3,5,2022,0
18,7,6,6,4,9,2022,0
32,3,3,2,1,12,2022,0
40,6,4,5,2,15,2022,0
4,7,1,5,2,2,2133,0
8,7,6,5,5,4,2133,0
16,5,5,3,6,6,2133,0
18,3,6,2,4,5,2133,0
20,5,2,4,4,9,2133,0
2,7,6,5,5,1,2357,1
26,7,1,6,3,13,2357,1
30,6,3,4,2,8,2357,1
32,4,2,2,3,8,2357,1
4,7,6,5,5,2,1931,0
10,7,1,5,2,5,1931,0
22,5,2,3,3,8,1931,0
32,5,5,4,3,15,1931,0
36,3,3,2,5,12,1931,0
10,7,6,5,5,5,1646,0
20,7,1,5,2,10,1646,0
2,7,6,5,5,1,2077,0
4,5,5,4,3,1,2077,0
6,4,3,5,1,2,2077,0
10,7,1,5,2,5,2077,0
20,5,2,3,1,7,2077,0
24,3,1,4,3,7,2077,0
26,5,1,4,3,11,2077,0
40,4,3,2,4,13,2077,0
42,2,4,4,5,11,2077,0
46,4,5,5,3,12,2077,0
52,5,3,4,5,14,2077,0
64,4,5,3,7,19,2077,0
84,3,7,4,5,26,2077,0
86,4,5,2,4,22,2077,0
4,7,1,5,2,2,2087,1
6,7,6,5,5,3,2087,1
24,5,5,3,4,10,2087,1
36,5,2,4,4,17,2087,1
2,7,6,5,5,1,2486,0
12,7,1,5,2,6,2486,0
26,5,2,4,4,10,2486,0
28,5,5,3,4,13,2486,0
2,7,6,5,5,1,2357,1
6,5,5,3,6,2,2357,1
8,7,1,5,2,4,2357,1
14,3,6,4,4,5,2357,1
16,5,2,4,4,6,2357,1
2,7,6,5,5,1,2081,0
14,7,1,6,3,7,2081,0
22,6,3,5,5,7,2081,0
36,5,5,3,4,17,2081,0
6,7,6,5,5,3,1946,0
