turn,fromRank,fromFile,toRank,toFile,timeSpent,win
16,4,3,2,2,5,1
28,7,1,5,2,14,1
4,7,1,5,2,2,0
22,7,6,5,5,11,0
24,5,2,4,0,11,0
34,5,5,4,3,11,0
40,4,3,6,2,11,0
44,6,2,5,4,12,0
48,4,0,2,1,18,0
8,7,6,5,5,4,1
16,7,1,6,3,8,1
20,5,5,4,3,8,1
28,6,3,5,1,10,1
30,5,1,6,3,8,1
4,7,1,5,2,2,1
12,7,6,5,5,6,1
26,5,5,4,3,10,1
30,5,2,3,3,14,1
2,7,6,5,5,1,0
12,7,1,6,3,6,0
24,6,3,4,4,9,0
44,4,4,2,5,16,0
2,7,6,5,5,1,0
4,5,5,4,3,1,0
10,4,3,5,1,4,0
18,7,1,5,2,9,0
24,5,1,7,2,9,0
34,7,2,6,4,11,0
42,6,4,4,5,12,0
44,4,5,5,3,11,0
8,7,1,5,2,4,1
20,7,6,6,4,10,1
60,5,2,3,3,28,1
62,3,3,5,2,16,1
66,5,2,7,3,17,1
68,7,3,5,2,17,1
84,6,4,5,2,37,1
8,7,6,5,5,4,1
20,7,1,6,3,10,1
26,6,3,4,2,8,1
28,4,2,3,0,7,1
34,5,5,6,3,15,1
36,6,3,5,1,9,1
38,5,1,3,2,10,1
2,7,6,5,5,1,0
14,7,1,5,2,7,0
20,5,5,3,4,9,0
24,3,4,1,3,7,0
36,5,2,4,4,14,0
2,7,1,5,2,1,1
14,7,6,6,4,7,1
24,6,4,4,3,8,1
28,5,2,3,1,13,1
32,3,1,4,3,9,1
52,4,3,5,1,20,1
58,5,1,6,3,16,1
62,6,3,5,5,16,1
64,5,5,6,3,16,1
66,6,3,5,1,17,1
68,5,1,6,3,17,1
2,7,6,5,5,1,0
10,5,5,3,4,4,0
12,3,4,4,6,3,0
4,7,1,5,2,2,1
8,7,6,5,5,4,1
14,5,5,4,3,5,1
28,4,3,5,1,10,1
4,7,1,5,2,2,0
16,7,6,6,4,8,0
20,5,2,3,3,9,0
26,3,3,2,5,8,0
2,7,6,5,5,1,1
4,5,5,4,3,1,1
16,7,1,6,3,8,1
22,6,3,4,4,7,1
24,4,3,2,2,11,1
4,7,1,5,2,2,1
8,7,6,6,4,4,1
12,6,4,4,3,4,1
22,5,2,4,4,10,1
8,7,1,6,3,4,1
16,7,6,5,5,8,1
20,6,3,4,4,8,1
22,4,4,5,2,6,1
26,5,2,4,4,7,1
30,5,5,4,3,11,1
32,4,4,3,2,9,1
4,7,1,5,2,2,1
6,7,6,5,5,3,1
12,5,2,3,3,5,1
20,5,5,3,6,8,1
4,7,6,5,5,2,1
6,7,1,5,2,3,1
8,5,5,3,6,3,1
18,5,2,3,3,7,1
22,3,6,5,5,9,1
44,5,5,3,4,16,1
2,7,6,5,5,1,0
4,5,5,4,3,1,0
8,4,3,5,1,3,0
16,7,1,5,2,8,0
20,5,1,3,2,8,0
22,3,2,2,4,6,0
26,5,2,3,1,9,0
42,3,1,5,2,14,0
6,7,1,6,3,3,1
18,7,6,5,7,9,1
26,5,7,3,6,8,1
30,3,6,5,5,8,1
46,5,5,7,4,15,1
50,6,3,5,5,23,1
78,5,5,7,6,26,1
80,7,6,6,4,20,1
84,6,4,7,2,22,1
86,7,2,6,0,22,1
94,7,4,6,6,35,1
96,6,6,7,4,24,1
106,6,0,7,2,31,1
108,7,2,5,3,27,1
110,7,4,6,6,31,1
112,6,6,7,4,28,1
118,7,4,6,6,31,1
120,6,6,4,5,30,1
122,5,3,4,5,34,1
124,4,5,3,7,32,1
128,3,7,2,5,33,1
134,2,5,3,7,35,1
136,3,7,5,6,34,1
142,5,6,6,4,37,1
144,6,4,4,3,36,1
146,4,3,6,4,37,1
148,6,4,5,2,37,1
150,5,2,4,4,38,1
4,7,6,5,5,2,1
